,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,target_ds,num_training_images,unfrozen_blocks,seed
0,1,10.75999927520752,-1.0,30.519347119140626,-1.0,13.0,30.380319595336914,56.897979736328125,cifar10,100,0,10200000
1,6,12.889999389648438,-1.0,27.337369174194336,-1.0,17.0,21.0642032623291,121.44056797027588,cifar10,100,0,10200000
2,11,20.189998626708984,-1.0,21.267282637023925,-1.0,23.0,15.170906066894531,179.24588632583618,cifar10,100,0,10200000
3,16,21.26999855041504,-1.0,18.61580061645508,-1.0,29.0,11.915069580078125,233.22591376304626,cifar10,100,0,10200000
4,21,21.309999465942383,-1.0,17.22135909729004,-1.0,33.0,10.490262031555176,277.214084148407,cifar10,100,0,10200000
5,26,21.51999855041504,-1.0,16.65106255493164,-1.0,31.0,12.546984672546387,324.7970242500305,cifar10,100,0,10200000
6,30,21.26999855041504,-1.0,16.386900102233888,-1.0,30.0,11.67044448852539,385.89213132858276,cifar10,100,0,10200000
0,1,7.9599995613098145,-1.0,34.68855291748047,-1.0,10.0,49.4550666809082,55.744577407836914,cifar10,100,0,10400000
1,6,9.40999984741211,-1.0,44.884063317871096,-1.0,14.0,30.399551391601562,113.2318263053894,cifar10,100,0,10400000
2,11,15.449999809265137,-1.0,21.890555709838868,-1.0,28.0,14.69184684753418,156.0211842060089,cifar10,100,0,10400000
3,16,18.600000381469727,-1.0,18.995859555053713,-1.0,35.0,10.484414100646973,204.2344105243683,cifar10,100,0,10400000
4,21,20.219999313354492,-1.0,17.422376681518553,-1.0,34.0,10.327101707458496,259.44550681114197,cifar10,100,0,10400000
5,26,20.799999237060547,-1.0,16.746883320617677,-1.0,40.0,11.326462745666504,319.7123839855194,cifar10,100,0,10400000
6,30,21.18000030517578,-1.0,16.26743109436035,-1.0,31.0,10.615154266357422,384.543888092041,cifar10,100,0,10400000
0,1,11.380000114440918,-1.0,35.607169732666016,-1.0,12.0,27.824541091918945,57.145764112472534,cifar10,100,0,10000000
1,6,14.34999942779541,-1.0,28.349257580566405,-1.0,11.0,19.926977157592773,123.43737363815308,cifar10,100,0,10000000
2,11,21.53999900817871,-1.0,21.08843039855957,-1.0,32.0,10.592935562133789,187.26892066001892,cifar10,100,0,10000000
3,16,22.35999870300293,-1.0,19.43903178405762,-1.0,31.0,11.051202774047852,251.09176635742188,cifar10,100,0,10000000
4,21,22.809999465942383,-1.0,18.210268270874025,-1.0,30.0,11.234655380249023,316.34208607673645,cifar10,100,0,10000000
5,26,22.670000076293945,-1.0,17.461120681762694,-1.0,37.0,9.433853149414062,382.19062852859497,cifar10,100,0,10000000
6,30,22.709999084472656,-1.0,17.071959288024903,-1.0,40.0,8.14594554901123,421.2504892349243,cifar10,100,0,10000000
0,1,14.819999694824219,-1.0,36.16492991333008,-1.0,10.0,27.64859390258789,57.08784627914429,cifar10,100,0,10100000
1,6,17.969999313354492,-1.0,26.155178558349608,-1.0,14.0,21.522558212280273,123.3827600479126,cifar10,100,0,10100000
2,11,24.689998626708984,-1.0,19.75141090698242,-1.0,33.0,11.677215576171875,187.63093328475952,cifar10,100,0,10100000
3,16,26.869998931884766,-1.0,17.605623318481445,-1.0,35.0,10.94025993347168,251.34860062599182,cifar10,100,0,10100000
4,21,27.239999771118164,-1.0,16.840998934936522,-1.0,30.0,10.489645004272461,316.6542811393738,cifar10,100,0,10100000
5,26,27.28999900817871,-1.0,15.99288445739746,-1.0,29.0,9.827350616455078,383.9672453403473,cifar10,100,0,10100000
6,30,27.170000076293945,-1.0,15.461898724365234,-1.0,34.0,9.666215896606445,423.9237017631531,cifar10,100,0,10100000
0,1,11.469999313354492,-1.0,51.27367291870117,-1.0,13.0,62.70390319824219,57.29940581321716,cifar10,100,0,10300000
1,6,9.929999351501465,-1.0,45.19366809082031,-1.0,14.0,34.47515106201172,124.1744294166565,cifar10,100,0,10300000
2,11,10.929999351501465,-1.0,34.99673756713867,-1.0,26.0,21.573225021362305,187.58358716964722,cifar10,100,0,10300000
3,16,12.789999961853027,-1.0,27.80929338378906,-1.0,18.0,18.499801635742188,250.98529267311096,cifar10,100,0,10300000
4,21,16.68000030517578,-1.0,22.243104919433595,-1.0,31.0,15.25128173828125,315.8823301792145,cifar10,100,0,10300000
5,26,17.90999984741211,-1.0,21.160430728149414,-1.0,25.0,14.728283882141113,381.63121008872986,cifar10,100,0,10300000
6,30,18.600000381469727,-1.0,20.645839834594728,-1.0,30.0,12.695504188537598,421.90485286712646,cifar10,100,0,10300000
