,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,1,1.0499999523162842,-1.0,6.070365251159668,-1.0,0.9959999918937683,38.180374581604006,75.05356001853943,-1,cifar100,50000,-1,-1
1,2,1.1899999380111694,-1.0,4.833503852844238,-1.0,1.1019999980926514,4.681111347351075,190.97916746139526,-1,cifar100,50000,-1,-1
2,3,2.740000009536743,-1.0,4.9976046173095705,-1.0,1.7599999904632568,4.533005000457764,307.2619845867157,-1,cifar100,50000,-1,-1
3,4,4.690000057220459,-1.0,4.342351271057129,-1.0,3.3479998111724854,4.366592482910156,423.42884349823,-1,cifar100,50000,-1,-1
4,5,6.849999904632568,-1.0,4.16528380203247,-1.0,5.191999912261963,4.184867744903564,539.6803379058838,-1,cifar100,50000,-1,-1
5,6,10.300000190734863,-1.0,3.893845541381836,-1.0,7.661999702453613,4.005471034088135,656.1444897651672,-1,cifar100,50000,-1,-1
6,7,12.960000038146973,-1.0,3.719874887084961,-1.0,10.288000106811523,3.83467013671875,772.399240732193,-1,cifar100,50000,-1,-1
7,8,14.25999927520752,-1.0,3.5988127433776858,-1.0,13.387999534606934,3.6631344165039064,888.7578346729279,-1,cifar100,50000,-1,-1
8,9,20.239999771118164,-1.0,3.283825661468506,-1.0,16.20199966430664,3.4930724632263184,956.2305274009705,-1,cifar100,50000,-1,-1
9,10,21.760000228881836,-1.0,3.2256169036865234,-1.0,19.25,3.3207015186309814,1011.0722272396088,-1,cifar100,50000,-1,-1
10,11,22.239999771118164,-1.0,3.268431090545654,-1.0,22.17599868774414,3.1566477851867676,1065.7969188690186,-1,cifar100,50000,-1,-1
11,12,28.729999542236328,-1.0,2.8517483360290528,-1.0,25.13399887084961,2.9860679125213623,1120.7664442062378,-1,cifar100,50000,-1,-1
12,13,27.35999870300293,-1.0,2.9813519218444826,-1.0,28.193998336791992,2.8242310301208495,1175.403382062912,-1,cifar100,50000,-1,-1
13,14,32.040000915527344,-1.0,2.6801544658660887,-1.0,31.920000076293945,2.640349397888184,1229.5787572860718,-1,cifar100,50000,-1,-1
14,15,36.279998779296875,-1.0,2.415658561706543,-1.0,35.87799835205078,2.459696691970825,1284.2020938396454,-1,cifar100,50000,-1,-1
15,16,37.23999786376953,-1.0,2.4332950569152834,-1.0,38.465999603271484,2.324345687942505,1338.7663743495941,-1,cifar100,50000,-1,-1
16,17,42.41999816894531,-1.0,2.113752847480774,-1.0,41.257999420166016,2.192720191421509,1393.3388385772705,-1,cifar100,50000,-1,-1
