,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,0,1,34.607406616210945,-1.0,7.339741303866527,-1.0,24.703125,11.205684032440184,105.25650572776794,8,svhn,6400,0,20200000
1,1,11,58.01705551147461,-1.0,2.3561586913845622,-1.0,58.796875,1.9761200952529907,405.472006559372,8,svhn,6400,0,20200000
2,2,21,62.03134536743164,-1.0,1.7848975627643606,-1.0,66.3125,1.2123050200939178,699.8893644809723,8,svhn,6400,0,20200000
3,3,31,61.52427673339844,-1.0,1.7579132475293189,-1.0,67.171875,1.1341110956668854,995.2539772987366,8,svhn,6400,0,20200000
4,4,41,61.70866394042969,-1.0,1.7202956094724238,-1.0,67.59375,1.1055486142635345,1290.4181723594666,8,svhn,6400,0,20200000
5,5,50,61.68561553955078,-1.0,1.7164182247526454,-1.0,67.84375,1.0964816057682036,1556.9260199069975,8,svhn,6400,0,20200000
6,0,1,14.62046718597412,-1.0,18.819544262877255,-1.0,10.25,20.274547500610357,75.55913496017456,8,svhn,400,0,20800000
7,1,21,37.91487503051758,-1.0,7.869813372770847,-1.0,60.75,2.726576957702637,190.00005316734314,8,svhn,400,0,20800000
8,2,41,40.0968017578125,-1.0,7.2046474372966935,-1.0,70.75,1.5293649888038636,307.157363653183,8,svhn,400,0,20800000
9,3,61,40.37722778320313,-1.0,6.988759757407106,-1.0,73.75,1.3956490135192872,413.5619094371796,8,svhn,400,0,20800000
10,4,81,41.23770523071289,-1.0,6.874357640853161,-1.0,72.5,1.2366205978393554,527.3198993206023,8,svhn,400,0,20800000
11,5,100,40.19668197631836,-1.0,6.883106105959189,-1.0,73.5,1.232304391860962,640.8468284606934,8,svhn,400,0,20800000
12,0,1,10.0,-1.0,8512018.9648,-1.0,21.5,27.84334716796875,34.29820466041565,8,cifar10,200,3,20000000
13,1,21,53.57999801635742,-1.0,7.586868159484863,-1.0,98.5,0.06389351576566696,99.72045087814331,8,cifar10,200,3,20000000
14,2,41,58.25,-1.0,3.3206901458740234,-1.0,99.5,0.04466227918863296,165.1377241611481,8,cifar10,200,3,20000000
15,3,61,58.44999694824219,-1.0,3.3463388885498047,-1.0,100.0,0.009366850890219212,229.71033644676208,8,cifar10,200,3,20000000
16,4,81,58.34000015258789,-1.0,3.186201222991943,-1.0,100.0,0.008920936696231365,296.52152442932135,8,cifar10,200,3,20000000
17,5,100,58.37999725341797,-1.0,3.253610639190674,-1.0,99.5,0.0262066438049078,351.21568751335144,8,cifar10,200,3,20000000
18,0,1,76.38999938964844,-1.0,2.0651643310546874,-1.0,59.375,5.431605681180954,68.69556713104248,8,cifar10,12800,0,20000000
