num_training_images,target_ds,0,3,4,8
100,cifar10,48.49299850463867,51.890998458862306,49.86199836730957,49.028998947143556
100,cifar100,7.970999765396118,8.537999773025513,8.236999607086181,8.842999744415284
100,fmnist,66.11299858093261,71.7989990234375,71.23899841308594,72.69199676513672
100,kmnist,34.29499893188476,51.76299858093262,50.119998931884766,51.05299873352051
100,mnist,68.69499816894532,83.83199768066406,83.03399810791015,82.8069969177246
100,svhn,23.502611541748045,37.89989166259765,34.751458930969235,35.754455184936525
200,cifar10,57.44099884033203,64.0539981842041,62.82999877929687,60.109998321533205
200,cifar100,13.053999710083009,13.258999633789063,13.713999557495118,12.793999767303466
200,fmnist,73.52899856567383,78.50699920654297,77.6709976196289,78.3329978942871
200,kmnist,44.77199859619141,62.973998641967775,60.35799903869629,62.835998916625975
200,mnist,81.58299713134765,90.7209976196289,90.44099807739258,90.49099731445312
200,svhn,29.36578025817871,50.8854476928711,46.82237167358399,47.77005119323731
400,cifar10,66.83999710083008,71.64899826049805,71.92899780273437,68.81199722290039
400,cifar100,18.57099962234497,21.735999488830565,21.31599998474121,19.789999580383302
400,fmnist,78.79799880981446,82.09099731445312,81.40399780273438,81.57999725341797
400,kmnist,52.45499877929687,71.65099716186523,70.17599792480469,71.88699722290039
400,mnist,88.09499740600586,94.27599792480468,93.90499877929688,93.97899856567383
400,svhn,37.29717178344727,61.96680870056152,58.989319229125975,61.022970581054686
800,cifar10,74.19899826049804,78.67899780273437,78.99199829101562,75.947998046875
800,cifar100,27.57299938201904,33.68299903869629,32.551998710632326,30.172999000549318
800,fmnist,82.73299636840821,85.2089973449707,84.5989974975586,84.58799743652344
800,kmnist,63.00499801635742,79.6709976196289,77.72999801635743,80.67999725341797
800,mnist,91.81399765014649,96.0479965209961,95.57899780273438,95.9229965209961
800,svhn,49.167562103271486,71.1919937133789,68.83566360473633,70.19283905029297
1600,cifar10,79.73999710083008,83.75799789428712,83.46999740600586,81.10299682617188
1600,cifar100,37.87799911499023,45.642998123168944,44.48899917602539,40.818999481201175
1600,fmnist,85.39099884033203,87.58199768066406,87.08699798583984,86.90599822998047
1600,kmnist,74.06099853515624,84.94599761962891,83.66499710083008,85.51699829101562
1600,mnist,94.46799774169922,97.1349967956543,96.99999771118163,97.1609977722168
1600,svhn,62.139288330078124,77.83766098022461,75.2377830505371,76.76513366699218
3200,cifar10,83.76699905395508,87.56299743652343,87.34399871826172,85.07099609375
3200,cifar100,51.459999084472656,56.90899887084961,55.789998626708986,51.34299850463867
3200,fmnist,87.97199859619141,89.4349983215332,89.11099853515626,88.88899765014648
3200,kmnist,81.41999816894531,89.67899703979492,88.26199722290039,89.1389991760254
3200,mnist,96.39899826049805,98.12599868774414,97.93299865722656,98.10299682617188
3200,svhn,74.31123046875,85.54663314819337,81.57075729370118,84.72802658081055
6400,cifar10,87.27599792480468,90.91499710083008,90.2349983215332,88.5969970703125
6400,cifar100,62.255998611450195,66.09799728393554,65.30899810791016,60.74999885559082
6400,fmnist,89.62999877929687,90.72599792480469,90.43999786376953,90.10799789428711
6400,kmnist,86.70499649047852,93.61199645996093,91.6989974975586,92.8589988708496
6400,mnist,97.3369972229004,98.73499755859375,98.49699783325195,98.57499771118164
6400,svhn,82.63214416503907,90.45943298339844,88.17147827148438,89.53941116333007
12800,cifar10,91.94599761962891,93.19999694824219,93.10999755859375,91.597998046875
12800,cifar100,69.91599731445312,71.61399688720704,71.4219985961914,67.15599822998047
12800,fmnist,91.55799865722656,92.08799743652344,91.96599578857422,91.68999786376953
12800,kmnist,94.31999816894532,96.20599822998047,95.72799835205078,95.8959976196289
12800,mnist,98.5239974975586,99.10599670410156,98.97599639892579,99.03199768066406
12800,svhn,88.69544982910156,92.86186065673829,91.68023834228515,91.81468811035157
25600,cifar10,93.93199768066407,94.92399749755859,94.62799835205078,93.28399810791015
25600,cifar100,75.07599792480468,75.67799835205078,75.39999847412109,71.5219970703125
25600,fmnist,93.41999816894531,93.23999786376953,93.14399871826171,92.78600006103515
25600,kmnist,97.00599822998046,97.5239974975586,97.33799743652344,97.44399871826172
25600,mnist,99.06199798583984,99.2739974975586,99.20799865722657,99.23799743652344
25600,svhn,92.24262084960938,94.35694274902343,93.75691375732421,94.08343200683593
50000,cifar10,95.36000061035156,95.86000061035156,95.5999984741211,94.57999420166016
50000,cifar100,78.48999786376953,79.23999786376953,79.50999450683594,76.05999755859375
60000,fmnist,94.50999450683594,94.72000122070312,94.40999603271484,93.97999572753906
60000,kmnist,98.06999969482422,98.3499984741211,98.18999481201172,98.37999725341795
60000,mnist,99.18999481201172,99.41999816894531,99.33999633789062,99.38999938964844
73257,svhn,95.32882690429688,96.01644134521484,95.41717529296876,95.63229370117188
